,driverId,driverRef
25577,-0.07551473284655291,zapico
25589,-0.07551473284655291,brown
25596,-0.07551473284655291,nelleman
18223,-0.0944731372508789,hill
21043,-0.26824490950257457,donohue
21209,-0.35978468675009484,migault
22956,-0.6908597946174508,wilson_fittipaldi
23786,-0.2244607445698498,wunderink
23792,-0.18232175792492794,palm
24319,-0.26578809755683647,brise
24329,-0.18232175792492794,nicholson
24331,-0.07551473284655291,morgan
24332,-0.18232175792492794,crawford
24346,-0.3253533714511215,charlton
24620,-0.18232175792492794,fushida
24635,-0.23832653227337977,lennep
25476,-0.07551473284655291,vonlanthen
25518,-0.07551473284655291,tunmer
25519,-0.19181964358577575,keizan
17638,-0.4256718364217493,beltoise
17848,0.178163656101729,hulme
20251,-0.23252378757398834,redman
20264,-0.6284356918128255,schenken
21151,-0.5486437952810591,hailwood
21236,-0.6290988705462365,ganley
21285,-0.5041039046997472,gethin
22016,-0.36043444510619804,wisell
22290,0.03073754285130777,revson
23811,-0.3253533714511215,opel
24299,-0.3308119594026468,bell
24488,-0.23677068360822673,hobbs
24976,-0.19181964358577575,dolhem
24979,-0.07551473284655291,facetti
24988,-0.2244607445698498,kinnunen
25040,-0.20199680447776253,robarts
25477,-0.07551473284655291,quester
25478,-0.19181964358577575,koinigg
25522,-0.18232175792492794,driver
25524,-0.20199680447776253,belso
25574,-0.18232175792492794,larrousse
25595,-0.07551473284655291,roos
25603,-0.18232175792492794,wietzes
17537,0.8078646998392128,stewart
19608,0.025611063168370325,cevert
21970,-0.6108254928298988,beuttler
22909,-0.6389426693739362,adamich
24077,-0.39593903710590717,galli
