,raceId,year,circuitId,driverId,constructorId,qualifying_position,q1_time_ms,q2_time_ms,q3_time_ms
323,17,2009,24,21,6.0,20.0,10384.0,27578.0,27352.0
324,17,2009,24,24,10.0,17.0,10801.0,27578.0,27352.0
325,17,2009,24,155,7.0,12.0,10135.0,10777.0,27352.0
326,17,2009,24,4,4.0,16.0,10767.0,27578.0,27352.0
327,17,2009,24,67,5.0,10.0,10908.0,10430.0,10913.0
328,17,2009,24,5,1.0,13.0,10808.0,10983.0,27352.0
329,17,2009,24,15,7.0,6.0,10517.0,10373.0,10997.0
330,17,2009,24,17,9.0,3.0,10667.0,10272.0,10826.0
331,17,2009,24,22,23.0,4.0,10574.0,10421.0,10886.0
332,17,2009,24,153,5.0,15.0,10603.0,10789.0,27352.0
333,17,2009,24,9,2.0,7.0,10520.0,10545.0,11092.0
334,17,2009,24,6,3.0,14.0,10196.0,10248.0,27352.0
335,17,2009,24,16,10.0,18.0,10936.0,27578.0,27352.0
336,17,2009,24,3,3.0,9.0,10842.0,10661.0,10783.0
337,17,2009,24,8,6.0,11.0,10200.0,10726.0,27352.0
338,17,2009,24,2,2.0,8.0,10558.0,10635.0,10543.0
339,17,2009,24,18,23.0,5.0,10378.0,10148.0,10992.0
340,18,2008,1,13,6.0,4.0,9494.0,9191.0,8878.0
341,18,2008,1,19,8.0,22.0,8959.0,27578.0,27352.0
342,18,2008,1,10,7.0,9.0,9519.0,8764.0,9493.0
343,18,2008,1,7,5.0,18.0,9146.0,27578.0,27352.0
344,18,2008,1,8,6.0,16.0,8740.0,27578.0,27352.0
345,18,2008,1,2,2.0,5.0,9460.0,9018.0,8936.0
346,18,2008,1,17,9.0,15.0,9514.0,27578.0,27352.0
347,18,2008,1,22,11.0,11.0,8969.0,8773.0,27352.0
348,18,2008,1,5,1.0,3.0,9164.0,8952.0,8779.0
349,18,2008,1,9,2.0,2.0,8703.0,8815.0,9469.0
350,18,2008,1,14,9.0,8.0,8981.0,8663.0,8941.0
351,18,2008,1,18,11.0,13.0,9312.0,8859.0,27352.0
352,18,2008,1,11,8.0,20.0,9008.0,27578.0,27352.0
353,18,2008,1,6,3.0,14.0,9491.0,9013.0,27352.0
354,18,2008,1,1,1.0,1.0,9172.0,8687.0,9314.0
355,18,2008,1,12,4.0,21.0,9130.0,27578.0,27352.0
356,18,2008,1,21,10.0,17.0,8907.0,27578.0,27352.0
357,18,2008,1,20,5.0,10.0,9302.0,9342.0,27352.0
358,18,2008,1,4,4.0,12.0,9507.0,8788.0,27352.0
359,18,2008,1,3,3.0,7.0,8895.0,8659.0,9487.0
360,18,2008,1,16,10.0,19.0,9559.0,27578.0,27352.0
361,18,2008,1,15,7.0,6.0,9027.0,8701.0,9327.0
362,19,2008,2,14,9.0,12.0,9658.0,9908.0,27352.0
363,19,2008,2,11,8.0,20.0,9787.0,27578.0,27352.0
364,19,2008,2,13,6.0,1.0,9847.0,9812.0,10248.0
365,19,2008,2,7,5.0,19.0,10277.0,27578.0,27352.0
366,19,2008,2,19,8.0,22.0,10181.0,27578.0,27352.0
367,19,2008,2,10,7.0,10.0,10391.0,9500.0,10556.0
368,19,2008,2,4,4.0,9.0,10483.0,9640.0,10250.0
369,19,2008,2,16,10.0,21.0,9801.0,27578.0,27352.0
370,19,2008,2,6,3.0,18.0,9988.0,27578.0,27352.0
371,19,2008,2,8,6.0,2.0,10145.0,9588.0,9830.0
372,19,2008,2,1,1.0,4.0,9892.0,10027.0,10309.0
373,19,2008,2,12,4.0,13.0,9674.0,10062.0,27352.0
